"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"Y65";"T";"UKE2";"A";"2008";19,8;NA;NA
"Y65";"T";"UKE2";"A";"2007";19,6;NA;NA
"Y65";"T";"UKE2";"A";"2006";19,4;NA;NA
"Y65";"T";"UKE2";"A";"2005";19,5;NA;NA
"Y65";"T";"UKE2";"A";"2004";19;NA;NA
"Y65";"T";"UKE2";"A";"2003";18,5;NA;NA
"Y65";"T";"UKE2";"A";"2002";18,5;NA;NA
"Y65";"T";"UKE2";"A";"2001";18,5;NA;NA
"Y65";"T";"UKE2";"A";"2000";18,1;NA;NA
"Y65";"T";"UKE2";"A";"1999";18;NA;NA
"Y65";"T";"UKE2";"A";"1998";NA;"na";NA
"Y65";"T";"UKE2";"A";"1997";NA;"na";NA
"Y65";"T";"UKE2";"A";"1996";NA;"na";NA
"Y65";"T";"UKE2";"A";"1995";NA;"na";NA
"Y65";"T";"UKE2";"A";"1994";17,3;NA;NA
"Y65";"T";"UKE2";"A";"1993";16,6;NA;NA
"Y65";"T";"UKE2";"A";"1992";NA;"na";NA
"Y65";"T";"UKE2";"A";"1991";NA;"na";NA
"Y65";"T";"UKE2";"A";"1990";NA;"na";NA
