"WSTATUS";"TYPTRAI";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH1";"A";"2000";4,2;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2015";14;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2014";14,6;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2013";13,3;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2012";12,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2011";11,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2010";12,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2009";8,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2008";7,6;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2007";7,3;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2006";7,9;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2005";7,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2004";7,8;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2003";4,8;"u";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2002";5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2001";6,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH2";"A";"2000";6,1;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2015";12,7;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2014";15;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2013";15,6;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2012";15,4;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2011";13,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2010";14;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2009";10,8;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2008";8,9;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2007";8,5;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2006";10,1;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2005";10,4;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2004";8,1;"b";NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2003";6,6;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2002";6,2;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2001";7,2;NA;NA
"NEMP";"NO_FED_NFE";"PC";"Y15-24";"T";"ITH3";"A";"2000";7,2;NA;NA
